ID,ARTISTE, PAYS,TITRE,ANNÉE ,ÉTIQUETTES,STYLE (S),TOP 250 TEXTES FRANÇAIS ,AUTEURS,LIENS ÉCOUTE STREAMING 
top-250-9,Alarm Will Sound,États-Unis,Modernists,2016,Cantaloupe Music / Naxos,"Classique, contemporain","Heureusement que l'ensemble américain a endisqué cet arrangement de Matt Marks (l'un de ses fondateurs) de la très étrange Revolution 9 des Beatles. Qui eut cru que ce collage électroacoustique pourrait être interprété par un ensemble instrumental? Le résultat est magnifique et il ouvre un univers de possibilités! Parmi celles-là, le même traitement administré au Poème électronique d'Edgard Varèse! La pièce des Beatles vaut à elle seule le détour, celle de Varèse est un bonus, et les autres pièces, composées pour l'ensemble par Wolfgang Rihm, Charles Wuorinen, John Orfe et Augusta Read Thomas sont autant de cerises sur le gâteau.",Réjean Beaucage,https://alarmwillsound.bandcamp.com/album/alarm-will-sound-presents-modernists
top-250-10,Aldous Harding,Nouvelle-Zélande,Party,2017,4AD / Spunk / Lyttleton,"Indie folk, psych folk","Intimité, économie de moyens, minimalisme folk, extrême sobriété... pouvoir de l’envoûtement, sorcellerie de l'amour. Piano, guitares acoustiques, saxophone discret... La Néo-Zélandaise Aldous Harding se dévoile dangereusement  à travers ces chansons à la fois délicates pour leur facture apparente et redoutables pour leur contenu poétique. Leurs étonnantes propriétés tumultueuses, érotiques, passionnelles, amoureuses, spirituelles. Ces eaux calmes sont un leurre, cette violence du calme est un merveilleux paradoxe, Aldous Harding est une magicienne. ",Alain Brunet,https://open.spotify.com/album/1bHFgyItmSogZKb5fWOefI?autoplay=true&v=L 
top-250-11,Alessandro Cortini,États-Unis,Risveglio,2015,Hospital Productions,"Techno, électro, ambient, dark ambient, industriel","Surtout connu pour son rôle au sein de Nine Inch Nails, Cortini est un passionné d’instruments électroniques et de synthétiseurs d’une autre époque. Non seulement il les collectionne, mais il en joue d’une manière exceptionnelle. Son penchant pour ces appareils confère à ses créations solos des sonorités aussi singulières que perturbantes. On prend un malin plaisir à se laisser hanter par ces mélodies qui portent sa signature distinctive. Vibrantes de nostalgie, les compositions de Risveglio sont idéales pour se remonter le moral ou se remettre le compteur à zéro. ",William Paulhus,https://soundcloud.com/alessandrocortini/sets/risveglio
top-250-12,Alex G. ,États-Unis,Beach Music ,2015,Domino,"Indie rock, chanson d'auteur","Après avoir lancé une série d’albums autoproduits, le chanteur-compositeur Alex Giannascoli est passé du statut d’artiste émergent à vedette montante de la scène indie alors que les journalistes découvraient à leur surprise qu’il figurait sur l’album Blond de Frank Ocean en 2016. L’année précédente, il faisait paraître son premier disque pour l’étiquette anglaise Domino, ce qui allait propulser sa carrière. Inspiré par la vague indie rock des années 1990 et des groupes comme Built to Spill ou Modest Mouse, Alex G propose un son unique en son genre, incorporant l’Auto-Tune, et même des influences jazz sur certaines pièces. ",Frederic Savard,https://sandy.bandcamp.com/album/beach-music
top-250-13,Alex Zhang Hungtai,Canada,Divine Weight,2018,NON Wordwide,"Ambient, contemporain, électro, expérimental ","Anciennement connu sous le pseudonyme Dirty Beaches, le musicien Alex Zhang Hungtai ne cesse de se réinventer afin d’explorer les terrains fertiles de l’expérimentation. Armé de son saxophone, il nous propose ici un album dense, complexe et envoûtant, composé majoritairement d’esquisses pour l’instrument à vent, qu’il a retravaillées en studio avec son fidèle acolyte Pierre Guerineau (Essaie Pas, Feu St-Antoine). Le résultat est à la fois familier et étranger, alors que le son du saxophone est transformé et modulé jusqu’à en devenir méconnaissable. Un album intemporel qui s’avère être une trame sonore idéale pour cette époque empreinte d’incertitudes.",Frederic Savard,https://alexzhanghungtai.bandcamp.com/album/divine-weight-2 
top-250-14,Alfred Brendel et le Wiener Philharmoniker,Autriche,"Live in Vienna: Schumann, Brahms",2018,Decca,Classique/romantique,"Onze ans après son départ à la retraite, nous retrouvions Alfred Brendel interprétant le Concerto pour piano en la mineur de Robert Schumann. Enregistré devant public, cet enregistrement révélait à nouveau l’éclat et la technique infaillible du jeu de Brendel, mais également une interprétation dont la fougue surpassait celle des versions précédentes du pianiste. Qui plus est, Live in Vienna comprend l’unique exécution de Brendel des Variations et fugue sur un thème de Haendel, composées par Johannes Brahms. Comme on pouvait s’y attendre, voilà une interprétation digne de plus grands, un incontournable à mettre dans sa discothèque… ou son disque dur. ",Sarah-Ann Larouche,https://open.spotify.com/album/2a9xVKjYN5XqfqWmZyJGm0
top-250-15,Alva Noto,Allemagne,"Xerrox, vol. 3",2015,Raster-Noton,Électronique/drone/minimal/expérimental/ambient ,"Après des volets 1 et 2 de facture plus brute, notamment dans leur façon de former des amas sonores numériques d’une masse impressionnante, qui auraient presque rendu jaloux Xenakis, Noto se montre ici davantage intéressé par les motifs mélodiques. Dans la longue et superbe pièce centrale, Xerrox Isola, il se révèle même tendre et lyrique, voire, qui l’eût cru, sentimental. ",Michel Rondeau,https://www.deezer.com/fr/album/40733531?autoplay=true https://play.google.com/music/preview/Bxblddhgdugdyakjsxorzkc2wgu?play=1 https://open.spotify.com/album/03yuwV0HcXTimDkgRmb49N?autoplay=true&v=L
top-250-16,Ambrose Akinmusire,États-Unis,Origami Harvest,2018,Blue Note,Jazz contemporain/hip-hop,"Origami Harvest est un projet très ambitieux, s’y marient les extrêmes : les dissonances d’un quatuor à cordes contemporain, le débit martial du rappeur Kool A.D., le jazz brillant du trompettiste Ambrose Akinmusire et de ses comparses, Marcus Gilmore, batterie, et Sam Harris, piano. Le leader californien catalyse les forces en présence afin de nous brosser le portrait d’une Amérique qui traite encore et toujours les Noirs comme des citoyens de seconde zone. Aux avancées formelles mises de l’avant par le compositeur et improvisateur, certes l’un des plus marquants de la décennie, un message non moins percutant est véhiculé en guise de sous-texte. ",Steve Naud,https://www.deezer.com/fr/album/75025922
top-250-17,Amon Tobin,Brésil / États-Unis,Isam,2011,Ninja Tune,Électro/IDM/expérimental ,"Ultime parution de l’artiste brésilien sous la prestigieuse étiquette Ninja Tune, Isam demeure un album monumental, d’une ampleur quasi surnaturelle. Le sculpteur d’infragraves y repoussait ses limites tout en s’éloignant de l’acid-jazz et du breakbeat de ses débuts. Les passages mélodiques sont omniprésents sur chacune des compositions, jungles urbaines hantées de sons extra-terrestres. Voilà assurément un enregistrement recommandé aux audiophiles cherchant à évaluer les capacités de leur chaîne ! ",Pascal Deslauriers,https://www.deezer.com/fr/album/961521
top-250-18,Anderson .Paak ,États-Unis ,Malibu ,2016,Steel Wool Records ,R&B/hip-hop ,"Lorsque le deuxième album de .Paak a paru début 2016, c'était comme s’il avait toujours été là. Était-ce en raison de sa flopée d'invités de tous les horizons? Parce que ses chansons tracent un parallèle naturel avec celles de contemporains comme Kendrick et Chance? Une chose est sûre, lorsqu’un disque est appelé à devenir intemporel, son attrait est immédiat. Et puis, Malibu (sans doute mon album préféré du jeune siècle) a su éveiller les fans à ce que la musique à son meilleur pouvait être: un cheminement plutôt qu'un point d’arrivée. ",Darcy Macdonald,https://open.spotify.com/album/4VFG1DOuTeDMBjBLZT7hCK?nd=1 
top-250-19,Andy Shauf,Canada,The Party ,2016,Arts and Crafts,Indie pop,"Le deuxième album du prodige saskatchewanais frôle dangereusement la perfection. C’est plusieurs tours de force en un : un sommet de modestie, d’intimisme et d’honnêteté que ne renierait pas Elliott Smith; un remarquable exercice en prise de son de proximité à la manière des années 70; un étonnant aller-retour entre les envolées orchestrales à la Wings et le bricolage lo-fi, de la composition folk de chef et, une fois qu’on a fini tout ça, un album-concept qui se tient, où chaque morceau raconte une fête vue par les yeux de M. Andy-l’introverti. ",Olivier Lalande,https://andyshauf.bandcamp.com/album/the-party
top-250-20,Anguish,États-Unis / Suède / Allemagne,Anguish ,2019,RareNoise Records,Hip-hop/expérimental/noise/free jazz/krautrock,"Du hip-hop aux atmosphères plombées, presque oppressantes, parcouru d’éclairs électroniques noise et industriels et de lézardes freejazz, et propulsé par une rythmique implacable. Regroupant les poids lourds Will Brooks et Mike Mare de Dälek, Mats Gustafsson et Hans Werliin de Fire!, et Hans Joachim Irmler de Faust, Anguish est un band qui ne fait pas de quartier.  ",Michel Rondeau,https://gutfeelingisanguish.bandcamp.com/album/anguish
top-250-21,Anthony Braxton,États-Unis,Echo Echo Mirror House,2013,Victo,Jazz contemporain/classique contemporain/musique actuelle,"Pour son ensemble, le compositeur et saxophoniste Anthony Braxton a développé des techniques d'improvisation lui permettant de créer des masses sonores qui s'entrechoquent dans un incessant contrepoint d'idées susceptibles de donner le tournis à l'amateur non-prévenu. Ici, le genre atteint un point culminant. Chacun des six musiciens qui l'accompagnent (contrebasse, percussion, tuba, violon, guitare et cornet) manipule, en plus de son instrument, un iPod qui diffuse... des extraits de l'impressionnante discographie du compositeur. Le résultat est un magnifique poème sonore qui entraîne l'auditeur dans une rêverie jubilatoire de 62 minutes. Excellent enregistrement public au Festival international de musique actuelle de Victoriaville, le 21 mai 2011.",Réjean Beaucage, https://open.spotify.com/album/5087akA4HbLY0aO2skpjsd  
top-250-22,Antoine Corriveau,Canada / Québec,Cette chose qui cognait au creux de sa poitrine sans vouloir s'arrêter,2016,Coyote Records,Folk rock/pop de chambre,"On aurait pu croire qu’Antoine Corriveau avait fait plafonner la mélancolie avec Les Ombres longues, en 2014. Que nenni! Corriveau (patronyme qui évoque sa possible aïeule dans sa cage à Pointe-Lévy) a rempilé en 2016 avec Cette chose… , au grand plaisir des amateurs de purée de cafard. Au rayon des moments forts, on a des arrangements de cordes qui rappellent ceux de Joseph Racaille sur le Fantaisie militaire de Bashung, un émouvant duo avec Fanny Bloom et des cuivres affolés sur Musique pour la danse. Une classe de maître en vague à l’âme, donc. ",Luc Marchessault,https://antoinecorriveau.bandcamp.com/album/cette-chose-qui-cognait-au-creux-de-sa-poitrine-sans-vouloir-sarr-ter
top-250-23,Antoine Tamestit / Daniel Harding /Symphonieorchester Des Bayerischen Rundfunks,France / Royaume-Uni / Allemagne,Jörg Widmann – Viola concerto ,2018,Presto Classical/ Harmonia Mundi,Classique contemporain,"Un des mythes les plus tenaces concernant l’alto est que son répertoire est limité. Durant les vingt dernières années, pas moins d’une trentaine de concertos pour alto ont été créés! Parmi ceux-ci, le Concerto de l’Allemand Jörg Widmann, écrit pour le Français Antoine Tamestit. Ici, le compositeur et le dédicataire ont travaillé de pair, ça s’entend, ça se sent. Il est évident que cet enregistrement ne peut pas recréer fidèlement tous les détails de la partition (déplacements, spatialisation des musiciens et autres mimiques effectuées pas le soliste), mais on en ressent l’énergie, l’excitation, la transcendance du médium. ",François Vallières,https://open.spotify.com/album/5weEWI9SQVlfthayoNDu2b
top-250-24,Apartment House,Angleterre,"Laurence Crane,Chamber Works 1992-2009",2014,Another Timbre,Classique contemporain,"Des mélodies contemplatives qui n’ont l’air de rien au premier abord. Si simples et claires qu’elles nous semblent familières. Elles recèlent pourtant une complexe beauté harmonique qui leur donne une insaisissable fraîcheur et exerce une étrange fascination. Plus on les écoute, plus le charme opère. Beau comme des haïkus.  ",Michel Rondeau,https://anothertimbre.bandcamp.com/album/chamber-works
top-250-25,Arca,Vénézuela,Arca,2017,XL Recordings,Électro/expérimental,"Connu sous le pseudonyme d'Arca, le Vénézuélien Alejandro Ghersi a créé en 2017 un chef-d’oeuvre le propulsant au firmament de l’élite électro. Deux ans plus tôt, nous avions été secoués par son Mutant et aussi par ses talents de réalisateur pour la pop de création et le hip-hop (Björk, Kanye West, FKA Twigs, Frank Ocean, Kelela, etc.), Arca n'a depuis cessé de progresser en tant que compositeur, musicien et même chanteur. Cet album homonyme magnifie son esthétique résolument androgyne, assortie d’une singulière cohabitation de violence bruitiste, de sophistication électronique et de grâce mélodique. Ce chaos brillamment organisé est un pont entre le monde de l’électroacoustique et les tendances avant-pop de l’électro. ",Alain Brunet,https://open.spotify.com/album/1MQO4j8QExVgmnplbIodEU 
top-250-26,Arcade Fire,Canada / Québec,The Suburbs,2010,Merge,Rock alternatif,,Nora Harun,https://open.spotify.com/album/3DrgM5X3yX1JP1liNLAOHI?autoplay=true&v=L
top-250-27,Archspire,Canada,Relentless Mutation,2017,Season Of Mist,Technical death metal/progressive metal,"Le groupe de Vancouver donne une nouvelle signification au mot rapide sur cet album. Le chanteur Oliver Rae Aleron livre ses textes au rythme d’une mitrailleuse et les musiciens nous torpillent les tympans avec une cavalcade de notes, mais ça n’empêche pas Archspire de se classer dans la catégorie death metal technique et même progressif grâce aux lignes de basse introspectives qui nous donnent l’occasion de reprendre notre souffle à l’occasion. Cette capacité à fusionner prouesses techniques et vélocité permet à Archspire et par le fait même à son 3e disque de se démarquer. ",Christine Fortier,https://archspire.bandcamp.com/
top-250-28,Areni Agbabian,États-Unis,Bloom ,2019,ECM,Folk jazz,"Un disque dépouillé. Une voix, un piano, un peu de percussion et beaucoup d’espace. Des mélodies simples, sans âge, pour ne pas dire éternelles, qui trouvent un écho profond en nous. L’une en particulier, qui revient comme un leitmotiv à quelques reprises et s’immisce en nous. Un disque dont le dénuement même nous force à nous arrêter et à suspendre notre course folle, à écouter et à nous tourner vers l’intérieur. ",Michel Rondeau ,https://www.deezer.com/en/album/94378202
top-250-29,Arman Méliès,France,Vertigone,2015,At(h)ome,Pop/ rock/chanson,"Arman Méliès se pose en narrateur dont l’épiderme ne jouit guère de la douce caresse du soleil radieux des après-midi de barbecues conviviaux. Ça, on le savait au moins depuis Casino, paru en 2008. Auteur, compositeur ou accompagnateur pour Bashung, Thiéfaine et Julien Doré, Méliès est le pendant hexagonal de notre Éric Goulet, c’est-à-dire un noble artisan versé dans l’expression des écorchures de l’existence, en tête d’affiche ou au service de collègues. Une demi-décennie après la parution de Vertigone, les crêtes qu’a créées Arman Méliès continuent d’envoûter les amateurs de vertiges affectifs. ",Luc Marchessault,https://www.deezer.com/us/album/11416130
top-250-30,Arnaud Fleurent-Didier,France,La reproduction,2010,Sony,Chanson d'auteur/pop/baroque/electronica,"La reproduction, seul album des années 2010 d’Arnaud Fleurent-Didier – ou AFD –, un diplômé en génie à la voix précaire mais souple, praticien d’un dandysme parolier à la Vincent Delerm, notamment dans France culture, un brûlot-éteignoir au narrateur socialement et culturellement blasé. La musique d’AFD se tient souvent à l’orée du slam, sur fond de piano pop baroque à la William Sheller. Ou alors d’électronica à la Jérôme Minière... ou à la (mini-)Air, puisque Stéphane Briat, collaborateur du célèbre duo, a mixé La reproduction, un legs substantiel au patrimoine de la pop intemporelle.",Luc Marchessault,https://www.deezer.com/fr/album/455140
top-250-31,Ata Kak,Ghana,Ooba Sima,2015,Awesome Tapes From Africa,Electro/highlife/hiplife/afro-rap/afro-électro/afro-pop ,"Tiré à une cinquantaine de cassettes à sa sortie en 1994, Ooba Sima a longtemps été introuvable, pour qui connaissait cet ovni afro-électro-pop de l'énigmatique Ata Kak. Grâce au travail d'archéologue de Brian Shimkovitz – d'Awesome Tapes From Africa – qui l'a réédité en cassette et fait paraître pour la première fois en vinyle et CD en 2015, on a pu à notre tour découvrir cet improbable bricolage patraque d’électro-funk, de pop, de hip-hop et de highlife rappé en langue Kwi, en vitesse accélérée. Le résultat est absolument sidérant. ",Patrick Baillargeon,https://atakak.bandcamp.com/album/obaa-sima
top-250-32,Autechre ,Royaume-Uni,NTS Sessions,2018,Warp,Électro/IDM/expérimental/glitch/ambient,"Constitué en 1987, le fameux duo anglais propose 21 ans plus tard l’équivalent musical de la pilule rouge du Matrix, un périple dont on ne sort pas indemne. Initialement conçu pour diffusion sur la radio londonienne NTS, l’enregistrement totalise 8 heures, soit 4 séances de 120 minutes. Sans concession, les titres des pièces (g 1 e 1, peal MA, shimripl casual, etc.) illustrent la radicalité de l'entreprise. Plus précisément, Autechre présente de longues pièces conçues à l’ordinateur, hypnotiques, parfois apaisantes, parfois déroutantes. Variant les styles (IDM, ambient, glitch, etc.), cet opus audacieux élève assurément les standards de l'électro. ",Patrick Bouchard,https://www.deezer.com/fr/album/69323082
top-250-33,Avec pas d’casque,Canada / Québec,Astronomie,2012,Grosse boîte,Indie folk/avant-pop/électro/classique/contemporain/trad,"Le troisième coup a été le bon pour Stéphane Lafleur et consorts. On le savait parolier admirable, mais ici, toutes les promesses faites du bout des lèvres par deux patraques premiers jets ont été remplies au centuple. L’apport de Mathieu Charbonneau, aux claviers et baryton, est crucial, mais on sent l’équipage entier dévoué corps et âme à emmener les vers astucieux de Lafleur jusqu’au bout de la nuit. Astronomie, c’est Avec pas d’casque qui devient tout ce qu’il peut être : pop, spectral, langoureux, profond, étagé... Un bel exemple de dépassement, et un nouveau sommet dans le son indépendant queb. ",Olivier Lalande,https://avecpasdcasque.bandcamp.com/album/astronomie
top-250-34,Badbadnotgood,Canada,III ,2014,Innovative Leisure Records,Jazz contemporain/hip-hop instrumental,"La musique des trois Torontois qui forment ce groupe constitue un vent de fraîcheur dans le monde du jazz et du hip-hop instrumental. Nous sommes ici en présence d’un chef-d’œuvre qui célèbre l’union parfaite entre électro, jazz et hip-hop. Salué par la critique lors de sa sortie, il reste une référence du genre. Produit avec l’aide de Frank Dukes (Frank Ocean, Post Malone, The Weeknd), l’album témoigne d’une précision chirurgicale dans l’écriture et d’une souplesse d’exécution jouissive. Soufflant le chaud et le froid, les premières notes de Triangle séduisent d’emblée.  ",Elsa Fortant,https://www.youtube.com/watch?v=7i9Kvk67pOA&list=PLfwDgcTF0-rhvIyXRmZBylkqoar2a9kgB https://open.spotify.com/album/58gf6kYIJs1vM9mQMz8Roh?si=iIrBta3kRQeldKW76MAZoQ
top-250-35,Baroness ,États-Unis,Yellow & Green ,2012,Relapse Records ,Sludge métal/rock psychédélique,"Saviez-vous que les chansons Green Theme et Shock Me (tirées de Purple, un album qui n’aurait pas dépareillé cette liste soit dit en passant) ont été diffusées pendant des épisodes de la série américaine Limitless? Il y avait même une affiche de Baroness dans l’appartement du personnage principal, Brian Finch. Ce ne sont pas les seules qualités de Yellow & Green, loin de là! Depuis 2003, le groupe de Georgie fondé par le guitariste John Baizley nous berce avec son mélange de sludge metal transcendant et Yellow & Green représente l’aboutissement de son développement.  ",Christine Fortier,https://baroness.bandcamp.com/     
top-250-36,Beach House,États-Unis,Teen Dream,2010,Sub Pop,Indie pop,"Troisième disque en carrière et premier sous l’étiquette Sub Pop, Teen Dream est l’album de la consécration pour Beach House. La formule dream pop brumeuse que nous propose le duo formé par Victoria Legrand (chant, claviers) et son acolyte Alex Scally (guitare, textures) prend du galon grâce à une production haute-fidélité et des compositions beaucoup plus diversifiées. Côté chant, la voix de Legrand y est totalement assumée et porte une dimension émotionnelle beaucoup plus forte que ce à quoi elle nous avait habitué précédemment. ",Dominic Berthiaume,https://open.spotify.com/album/4sYpTER2iT2Y7Kf4VsfUne?autoplay=true&v=L
top-250-37,Ben Reimer,Canada,Katana of Choice,2017,Redshift Music2017,Classique contemporain,"C’est une évidence : la collaboration entre le batteur Ben Reimer et la compositrice Nicole Lizée est un mariage heureux. La pièce Ringer est d’ores et déjà un classique et Kanata of Choice, à laquelle participe le TorQ Percussion Quartet, déploie des merveilles d’invention. Pour compléter le tableau, Reimer invite David Cossin et Architek Percussion à montrer leur savoir-faire dans des compositions de John Psasthas, Lukas Ligeti et Eliot Britton. Cet album porte la musique pour percussion à un autre niveau. ",Marie-Pierre Brasset,https://redshiftmusicsociety.bandcamp.com/album/katana-of-choice
top-250-38,Berliner Philharmoniker / Dudamel / Gilbert Petrenko / Rattle ,États-Unis / Allemagne,The John Adams Edition,2017,Berliner Philarmoniker Recordings,Classique contemporain/post-minimaliste,"Ces enregistrements devant public ont été tirés de la saison 2016-2017 de la phalange berlinoise, où le compositeur américain fut nommé artiste en résidence. Cette compilation réunit un florilège d’œuvres composées à différentes époques, l’objet étant de démontrer au public européen l’étendue du talent de John Adams. L’Orchestre Philarmonique de Berlin sort ici de sa zone de confort et nous offre des interprétations fascinantes, entre autres Harmonielehre (1985), The Wound-Dresser (1989) ou le magnifique Gospel According to the Other Mary (2012). La musicalité, le flegme, la puissance et la rondeur du son des Berliners donnent un souffle nouveau au langage post-minimaliste d’Adams. ",François Vallières,https://www.deezer.com/en/album/92679722?autoplay=true
top-250-39,Bernard Adamus,Canada / Québec,No 2,2012,Grosse Boîte,Chanson d'auteur/post-folk urbain ,"Dans la grande carcasse de Bernard Adamus vit le parolier le plus authentique de la ruralité urbaine québécoise. Bernard nous livre ses mots d’une voix gargouillante, à un débit de calibre fluvial, sur sonorités englobant tout ce qui se trouve entre la Louisiane et la Gaspésie. Dans Le scotch goûte le vent, Adamus évoque un rêveur qui devient un golem. Discrète allusion à ses origines polonaises? À Chelm, aux confins de cette contrée, vécut un rabbin qui pétrit puis fit périr un golem. Bernard Adamus, lui, fait vivre des chansons ici, en Amérique franco du Nord. (Luc Marchessault)",Luc Marchessault,https://bernardadamus.bandcamp.com/album/n-2-3
top-250-40,Bertrand Belin,France,Persona,2018,Cinq 7/ Wagram / Grosse Boîte,Chanson d’auteur/folk rock/synthwave,"Au cours des dix dernières années, il a fait les albums Hypernuit, Parcs, Cap Waller et Persona, tous excellents. Fine réflexion, assomption de l’ambiguïté poétique, circonspection du verbe, minimalisme du son, jeu subtil des styles à l’appui du chant et des mots. Bertrand Belinse se déplace dans un calme apparent, balance de superbes motifs de guitares, exploite de frugales percussions, des claviers, et synthétiseurs analogiques sobrement exécutés. Dans tous ces parcs du coeur et de l'esprit, la ténuité camoufle la substance jusqu’à ce qu’elle écume. Bertand Belin est un maître.",Alain Brunet,https://www.deezer.com/fr/album/77809622 
